# sampleP4_6p5_25c
# q, 0.1234941
# dq, 0.0007932417
#  
#           tau       S(Q,t)      dS(Q,t)
     0.076253,     1.025575,     0.030073
     0.173555,     1.016152,     0.043968
     0.375440,     1.028119,     0.044102
     0.524643,     0.965367,     0.051678
     0.907446,     1.028564,     0.058294
     1.150755,     0.980804,     0.065394
     1.430109,     0.895450,     0.051021
     2.419999,     0.783107,     0.055588
     3.067703,     0.714991,     0.066559
     4.238949,     0.756683,     0.046222
     5.751138,     0.582135,     0.079932
     7.201556,     0.571947,     0.052779
     9.114597,     0.510588,     0.054525
    11.474230,     0.401086,     0.045850
    14.964030,     0.272136,     0.074197
